"Informazioni cronologiche","Anni","Magistrale","Quanto la tua età ha influenzato la scelta del corso magistrale ? ","Quanto la tua conoscenza della lingua inglese ha influenzato la scelta del corso magistrale ? ","Qual è il tuo livello della lingua inglese ? ","Quanto lo sbocco lavorativo e la relativa retribuzione futura ha influenzato la scelta del corso magistrale ? ","Il luogo in cui vivi è lontano dall’università ?","Per frequentare il corso magistrale da te scelto ti sei trasferito/a nei pressi dell’università ?","Quanto la distanza dall’università ha influito sulla scelta del corso magistrale ?","Desideravi allontanarti o restare nei pressi dell’università?","Perché ?","Se non dovessi considerare più questi fattori cambieresti la tua scelta ? ","C’è qualcosa che ti ha deluso della tua scelta ?","Ad oggi hai un ripensamento sulla tua scelta magistrale ?","Ad oggi quanto cambieresti la scelta della magistrale ?","Ad oggi con quale corso magistrale cambieresti la tua scelta ?","Quale corso tra quelli scelti durante la laurea triennale ti ha condotto alla scelta della magistrale ? ","È stato l’esame dove hai conseguito uno dei voti più alti ?","Quanto i progetti organizzati dall’università di Salerno hanno influenzato la scelta della magistrale ?","Di che argomento trattava il progetto organizzato dall’università di Salerno che ha influenzato la scelta della magistrale ?","Su quale argomento si è incentrata la tua tesi triennale ?","Quanto questo argomento è stato rilevante per la tua scelta ?"
"2022/01/18 6:17:36 PM CET","22 - 26","Software Engineering and IT Management","0 (Per nulla)","0 (Per nulla)","Intermedio (B1 - B2)","2 (Più si che no)","2 (Più si che no)","Si","0 (Par nulla)","Restare nelle vicinanze","Desideravo restare vicino ai miei familiari e amici","0 (Par nulla)","Non mi ha deluso nulla è esattamente come me lo aspettavo","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Interazione Uomo-Macchina","No","2 (Più si che no)","Software Engineering and IT Management","Software Engineering and IT Management","3 (Moltissimo)"
"2022/01/18 6:20:07 PM CET","22 - 26","Software Engineering and IT Management","0 (Per nulla)","0 (Per nulla)","Avanzato (C1 - C2)","2 (Più si che no)","1 (Più no che si)","No","0 (Par nulla)","Restare nelle vicinanze","Perché mi piace casa","1 (Più no che si)","Non mi ha deluso nulla è esattamente come me lo aspettavo","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Interazione Uomo-Macchina","Si","2 (Più si che no)","Software Engineering and IT Management","Data Science & Machine Learning","1 (Più no che si)"
"2022/01/18 6:39:56 PM CET","22 - 26","Data Science & Machine Learning","3 (Moltissimo)","2 (Più si che no)","Intermedio (B1 - B2)","3 (Moltissimo)","1 (Più no che si)","Si","3 (Moltissimo)","Restare nelle vicinanze","Desideravo restare vicino ai miei familiari e amici","3 (Sicuramente)","Ho sbagliato a restare nelle vicinanze del luogo in cui vivo","1 (più no che si)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Simulazione","Si","2 (Più si che no)","Software Engineering and IT Management","Software Engineering and IT Management","1 (Più no che si)"
"2022/01/18 6:50:02 PM CET","22 - 26","Software Engineering and IT Management","0 (Per nulla)","2 (Più si che no)","Intermedio (B1 - B2)","2 (Più si che no)","1 (Più no che si)","No","0 (Par nulla)","Allontanarmi","Desideravo allontanarmi per conoscere un nuovo ambiente","1 (Più no che si)","Ho sbagliato a restare nelle vicinanze del luogo in cui vivo","0 (Per nulla)","0 (Per nulla)","Software Engineering and IT Management","Mobile Programming","Si","2 (Più si che no)","Software Engineering and IT Management","Software Engineering and IT Management","2 (Più si che no)"
"2022/01/18 7:08:24 PM CET","22 - 26","Data Science & Machine Learning","1 (Più no che si)","0 (Per nulla)","Intermedio (B1 - B2)","2 (Più si che no)","1 (Più no che si)","No","0 (Par nulla)","Restare nelle vicinanze","vivo già vicino non ho cambiato niente","0 (Par nulla)","Non mi ha soddisfatto il metodo di insegnamento di alcuni professori","2 (Più si che no)","1 (Più no che si)","Opterei per lo stesso corso magistrale","Fondamenti di Intelligenza Artificiale","Si","1 (più no che si)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Grafica ","2 (Più si che no)"
"2022/01/18 8:14:43 PM CET","22 - 26","Software Engineering and IT Management","0 (Per nulla)","0 (Per nulla)","Intermedio (B1 - B2)","3 (Moltissimo)","1 (Più no che si)","Si","0 (Par nulla)","Restare nelle vicinanze","Desideravo restare vicino ai miei familiari e amici","0 (Par nulla)","Non mi ha deluso nulla è esattamente come me lo aspettavo","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Simulazione","No","2 (Più si che no)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","IoT","0 (Per nulla)"
"2022/01/19 7:18:17 PM CET","22 - 26","Software Engineering and IT Management","1 (Più no che si)","0 (Per nulla)","Intermedio (B1 - B2)","3 (Moltissimo)","0 (Par nulla)","No","0 (Par nulla)","Restare nelle vicinanze","Ho preso questa decisione con il mio gruppo di amici","1 (Più no che si)","Non mi ha soddisfatto il metodo di insegnamento di alcuni professori","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Mobile Programming","Si","2 (Più si che no)","Software Engineering and IT Management","Computer vision","0 (Per nulla)"
"2022/01/19 7:19:51 PM CET","22 - 26","Sicurezza Informatica","0 (Per nulla)","0 (Per nulla)","Avanzato (C1 - C2)","0 (Par nulla)","0 (Par nulla)","Si","0 (Par nulla)","Allontanarmi","Desideravo allontanarmi per conoscere un nuovo ambiente","0 (Par nulla)","Non mi ha soddisfatto il metodo di insegnamento di alcuni professori","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Simulazione","Si","0 (Per nulla)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Teoria dei Codici","2 (Più si che no)"
"2022/01/19 7:22:05 PM CET","22 - 26","Software Engineering and IT Management","0 (Per nulla)","0 (Per nulla)","Intermedio (B1 - B2)","3 (Moltissimo)","1 (Più no che si)","No","2 (Più si che no)","Allontanarmi","Desideravo allontanarmi per conoscere un nuovo ambiente","0 (Par nulla)","Non mi ha deluso nulla è esattamente come me lo aspettavo","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Fondamenti di Intelligenza Artificiale","No","2 (Più si che no)","Software Engineering and IT Management","Data Science & Machine Learning","2 (Più si che no)"
"2022/01/19 7:24:31 PM CET","22 - 26","Cloud Computing","2 (Più si che no)","0 (Per nulla)","Intermedio (B1 - B2)","3 (Moltissimo)","2 (Più si che no)","No","0 (Par nulla)","Restare nelle vicinanze","Mi sono trovato bene","0 (Par nulla)","Molti esami a scelta trattano argomenti che non mi interessano","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Mobile Programming","No","0 (Per nulla)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Cloud Computing","2 (Più si che no)"
"2022/01/19 7:44:05 PM CET","22 - 26","Software Engineering and IT Management","0 (Per nulla)","0 (Per nulla)","Intermedio (B1 - B2)","1 (Più no che si)","1 (Più no che si)","No","0 (Par nulla)","Allontanarmi","Desideravo allontanarmi per conoscere un nuovo ambiente","0 (Par nulla)","Non mi ha deluso nulla è esattamente come me lo aspettavo","0 (Per nulla)","0 (Per nulla)","Software Engineering and IT Management","Programmazione Avanzata","Si","2 (Più si che no)","Software Engineering and IT Management","Data Science & Machine Learning","3 (Moltissimo)"
"2022/01/19 7:46:18 PM CET","22 - 26","Data Science & Machine Learning","0 (Per nulla)","0 (Per nulla)","Intermedio (B1 - B2)","3 (Moltissimo)","2 (Più si che no)","No","2 (Più si che no)","Restare nelle vicinanze","Desideravo restare vicino ai miei familiari e amici","0 (Par nulla)","Non mi ha soddisfatto il metodo di insegnamento di alcuni professori","1 (più no che si)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Fondamenti di Intelligenza Artificiale","No","0 (Per nulla)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Data Science & Machine Learning","1 (Più no che si)"
"2022/01/19 7:59:42 PM CET","22 - 26","IoT","0 (Per nulla)","3 (Moltissimo)","Avanzato (C1 - C2)","2 (Più si che no)","2 (Più si che no)","No","1 (Più no che si)","Restare nelle vicinanze","Ho preso questa decisione con il mio gruppo di amici","0 (Par nulla)","Non mi ha deluso nulla è esattamente come me lo aspettavo","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Fondamenti di Intelligenza Artificiale","Si","0 (Per nulla)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","IoT","2 (Più si che no)"
"2022/01/19 8:01:46 PM CET","22 - 26","Sicurezza Informatica","0 (Per nulla)","0 (Per nulla)","Intermedio (B1 - B2)","0 (Par nulla)","2 (Più si che no)","No","0 (Par nulla)","Allontanarmi","Ho provato a vivere lì durante la quarantena. Zona rossa, non potevo uscire per alcun motivo, e le residenze erano vuote. Non lo consiglio a nessuno; stare da solo in un appartamentino senza contatti umani di alcun tipo per settimane è deprimente oltre ogni livello.","2 (Più si che no)","Non mi ha deluso nulla è esattamente come me lo aspettavo","1 (più no che si)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Sicurezza","Si","0 (Per nulla)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Sicurezza Informatica","0 (Per nulla)"
"2022/01/19 8:17:41 PM CET","22 - 26","Software Engineering and IT Management","0 (Per nulla)","0 (Per nulla)","Avanzato (C1 - C2)","2 (Più si che no)","1 (Più no che si)","No","0 (Par nulla)","Restare nelle vicinanze","Perchè ritengo che il dipartimento di informatica di Unisa sia uno tra i migliori in Italia.","1 (Più no che si)","Non mi ha deluso nulla è esattamente come me lo aspettavo","0 (Per nulla)","1 (Più no che si)","Opterei per lo stesso corso magistrale","Simulazione","No","2 (Più si che no)","Software Engineering and IT Management","Data Science & Machine Learning","1 (Più no che si)"
"2022/01/19 8:24:01 PM CET","22 - 26","IoT","0 (Per nulla)","2 (Più si che no)","Intermedio (B1 - B2)","2 (Più si che no)","1 (Più no che si)","No","0 (Par nulla)","Restare nelle vicinanze","Desideravo restare vicino ai miei familiari e amici","2 (Più si che no)","Non mi ha soddisfatto il metodo di insegnamento di alcuni professori","2 (Più si che no)","3 (Sicuramente)","Software Engineering and IT Management","Calcolo Scientifico","Si","2 (Più si che no)","Data Science & Machine Learning","Data Science & Machine Learning","3 (Moltissimo)"
"2022/01/19 8:27:21 PM CET","22 - 26","Sicurezza Informatica","1 (Più no che si)","1 (Più no che si)","Intermedio (B1 - B2)","1 (Più no che si)","1 (Più no che si)","No","0 (Par nulla)","Restare nelle vicinanze","Desideravo restare vicino ai miei familiari e amici","0 (Par nulla)","Non mi ha deluso nulla è esattamente come me lo aspettavo","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Sicurezza","Si","0 (Per nulla)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Sicurezza Informatica","2 (Più si che no)"
"2022/01/19 8:28:57 PM CET","22 - 26","Sicurezza Informatica","0 (Per nulla)","1 (Più no che si)","Intermedio (B1 - B2)","2 (Più si che no)","1 (Più no che si)","No","0 (Par nulla)","Restare nelle vicinanze","Desideravo restare vicino ai miei familiari e amici","0 (Par nulla)","Non mi ha deluso nulla è esattamente come me lo aspettavo","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Sicurezza","No","1 (più no che si)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Sicurezza Informatica","2 (Più si che no)"
"2022/01/19 8:37:43 PM CET","22 - 26","Cloud Computing","1 (Più no che si)","1 (Più no che si)","Intermedio (B1 - B2)","2 (Più si che no)","1 (Più no che si)","No","0 (Par nulla)","Restare nelle vicinanze","Ho preso questa decisione con il mio gruppo di amici","1 (Più no che si)","Non mi ha soddisfatto il metodo di insegnamento di alcuni professori","1 (più no che si)","1 (Più no che si)","Opterei per lo stesso corso magistrale","Programmazione Avanzata","No","0 (Per nulla)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Software Engineering and IT Management","0 (Per nulla)"
"2022/01/19 9:04:39 PM CET","22 - 26","Sicurezza Informatica","0 (Per nulla)","0 (Per nulla)","Intermedio (B1 - B2)","0 (Par nulla)","1 (Più no che si)","No","0 (Par nulla)","Restare nelle vicinanze","Mi piaceva la magistrale qui","0 (Par nulla)","Non mi ha soddisfatto il metodo di insegnamento di alcuni professori","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Calcolo Scientifico","No","0 (Per nulla)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Algoritmi","0 (Per nulla)"
"2022/01/19 9:13:49 PM CET","22 - 26","Cloud Computing","0 (Per nulla)","0 (Per nulla)","Intermedio (B1 - B2)","2 (Più si che no)","2 (Più si che no)","No","0 (Par nulla)","Restare nelle vicinanze","Desideravo restare vicino ai miei familiari e amici","0 (Par nulla)","Non mi ha deluso nulla è esattamente come me lo aspettavo","1 (più no che si)","1 (Più no che si)","Sicurezza Informatica","Grafica ed Interattività","Si","1 (più no che si)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Data Science & Machine Learning","0 (Per nulla)"
"2022/01/19 9:16:15 PM CET","22 - 26","Software Engineering and IT Management","1 (Più no che si)","1 (Più no che si)","Intermedio (B1 - B2)","3 (Moltissimo)","0 (Par nulla)","No","1 (Più no che si)","Allontanarmi","Desideravo allontanarmi per conoscere un nuovo ambiente","0 (Par nulla)","La decisione degli esami poteva essere più mirata alla costruzione di una figura specifica","1 (più no che si)","1 (Più no che si)","Opterei per lo stesso corso magistrale","Grafica ed Interattività","Si","2 (Più si che no)","Software Engineering and IT Management","Cloud Computing","2 (Più si che no)"
"2022/01/19 9:19:01 PM CET","22 - 26","Sicurezza Informatica","0 (Per nulla)","0 (Per nulla)","Intermedio (B1 - B2)","3 (Moltissimo)","2 (Più si che no)","No","0 (Par nulla)","Restare nelle vicinanze","Desideravo restare vicino ai miei familiari e amici","3 (Sicuramente)","Non mi ha deluso nulla è esattamente come me lo aspettavo","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Fondamenti di Intelligenza Artificiale","No","1 (più no che si)","Sicurezza Informatica","Sicurezza Informatica e Machine Learning","3 (Moltissimo)"
"2022/01/19 9:36:11 PM CET","22 - 26","Sicurezza Informatica","0 (Per nulla)","0 (Per nulla)","Intermedio (B1 - B2)","1 (Più no che si)","1 (Più no che si)","No","0 (Par nulla)","Restare nelle vicinanze","Desideravo restare vicino ai miei familiari e amici","0 (Par nulla)","Non mi ha deluso nulla è esattamente come me lo aspettavo","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Sicurezza","Si","0 (Per nulla)","Sicurezza Informatica","Sicurezza Informatica","2 (Più si che no)"
"2022/01/19 9:40:55 PM CET","27 - 31","Cloud Computing","0 (Per nulla)","0 (Per nulla)","Avanzato (C1 - C2)","2 (Più si che no)","2 (Più si che no)","Si","0 (Par nulla)","Restare nelle vicinanze","Desideravo rimanere nell’ateneo ","0 (Par nulla)","Non mi ha deluso nulla è esattamente come me lo aspettavo","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Programmazione Avanzata","Si","2 (Più si che no)","Cloud Computing","Cloud Computing","2 (Più si che no)"
"2022/01/19 9:52:39 PM CET","22 - 26","IoT","0 (Per nulla)","3 (Moltissimo)","Avanzato (C1 - C2)","2 (Più si che no)","1 (Più no che si)","No","0 (Par nulla)","Restare nelle vicinanze","Desideravo restare vicino ai miei familiari e amici","1 (Più no che si)","Non mi ha soddisfatto il metodo di insegnamento di alcuni professori","1 (più no che si)","1 (Più no che si)","Software Engineering and IT Management","Mobile Programming","No","0 (Per nulla)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Data Science & Machine Learning","1 (Più no che si)"
"2022/01/19 11:52:04 PM CET","27 - 31","Sicurezza Informatica","0 (Per nulla)","0 (Per nulla)","Intermedio (B1 - B2)","1 (Più no che si)","1 (Più no che si)","No","0 (Par nulla)","Allontanarmi","Desideravo restare vicino ai miei familiari e amici","0 (Par nulla)","Non mi ha deluso nulla è esattamente come me lo aspettavo","0 (Per nulla)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Sicurezza","No","0 (Per nulla)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Geolocalizzazione in twitter","0 (Per nulla)"
"2022/01/20 12:49:45 AM CET","22 - 26","Sicurezza Informatica","0 (Per nulla)","1 (Più no che si)","Intermedio (B1 - B2)","2 (Più si che no)","1 (Più no che si)","No","0 (Par nulla)","Restare nelle vicinanze","Desideravo restare vicino ai miei familiari e amici","0 (Par nulla)","Mi aspettavo qualcosa di diverso","1 (più no che si)","0 (Per nulla)","Opterei per lo stesso corso magistrale","Sicurezza","No","0 (Per nulla)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Web app","3 (Moltissimo)"
"2022/01/20 9:51:01 AM CET","22 - 26","Sicurezza Informatica","0 (Per nulla)","2 (Più si che no)","Intermedio (B1 - B2)","0 (Par nulla)","0 (Par nulla)","No","0 (Par nulla)","Allontanarmi","Desideravo allontanarmi per conoscere un nuovo ambiente","2 (Più si che no)","Mi aspettavo qualcosa di diverso","2 (Più si che no)","2 (Più si che no)","Cloud Computing","Sicurezza","No","0 (Per nulla)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","Mobile programming","0 (Per nulla)"
"2022/01/20 3:32:27 PM CET","27 - 31","Sicurezza Informatica","1 (Più no che si)","2 (Più si che no)","Intermedio (B1 - B2)","2 (Più si che no)","2 (Più si che no)","No","2 (Più si che no)","Restare nelle vicinanze","Desideravo restare vicino ai miei familiari e amici","2 (Più si che no)","Non mi ha soddisfatto il metodo di insegnamento di alcuni professori","2 (Più si che no)","1 (Più no che si)","Data Science & Machine Learning","Sicurezza","Si","0 (Per nulla)","Nessuno dei progetti svolti mi ha incentivato a scegliere un determinato corso magistrale","[BASI di DATI] Rappresentazione di Dipendenze Funzionali tramite Lattice","0 (Per nulla)"
